chr	start	end	Name
LT635612	104013	107429	DBP2
LT635617	980025	988681	DBP
LT635621	1329792	1332916	MSP3.11
LT635621	1332979	1335525	MSP3.10
LT635621	1362254	1364791	MSP3.1
LT635621	1358155	1360860	MSP3.2
LT635621	1354475	1356829	MSP3.3
LT635621	1349145	1352525	MSP3.5
LT635621	1345019	1347715	MSP3.8
LT635621	1340308	1343631	MSP3.9
LT635621	1337125	1338381	MSP3G
LT635618	71106	80980	RBP1a
LT635618	59612	70478	RBP1b
LT635625	112686	121381	RBP2a
LT635619	33312	43704	RBP2b
LT635616	1458611	1467388	RBP2c
